"a_o_creacion","mes_creacion","tipo_entidad","codigo_entidad","instancia_recepcion","motivo","producto","departamento","municipio","cantidad_quejas_recibidas"
"2026","3","128","6","Entidad vigilada","Información sujeta a reserva","Otros productos de Fiduciarias","BOGOTÁ, D.C.","BOGOTÁ, D.C.","3"
"2026","3","4","128","Entidad vigilada","Transferencias erradas o duplicadas","Tarjetas de crédito","BOGOTÁ, D.C.","BOGOTÁ, D.C.","1"
"2026","3","1","42","Entidad vigilada","Transferencias no ejecutadas","Cuenta de ahorro","BOGOTÁ, D.C.","BOGOTÁ, D.C.","1"
"2026","3","5","12","Entidad vigilada","Reconocimiento de prestaciones económicas - Demora en la definición del trámite de la prestación económica","Pensiones obligatorias - Vejez","VALLE DEL CAUCA","PALMIRA","1"
"2026","3","1","39","Entidad vigilada","Transacción no reconocida","Tarjetas de crédito","VALLE DEL CAUCA","CALI","9"
"2026","3","1","1","Superintendencia Financiera de Colombia","Transacción no reconocida","Cuenta de ahorro","BOGOTÁ, D.C.","BOGOTÁ, D.C.","1"
"2026","3","1","7","Entidad vigilada","Fallas o inoportunidad en el proceso de vinculación","Depósitos de bajo monto (Capítulo I del Título 15 del Decreto 2555 de 2010)","TOLIMA","IBAGUÉ","1"
"2026","3","1","7","Entidad vigilada","Inconsistencia en seguros","Créditos de vivienda","ANTIOQUIA","MEDELLÍN","1"
"2026","3","1","7","Entidad vigilada","Demora o no devolución de saldos, aportes o primas","Depósitos de bajo monto (Capítulo I del Título 15 del Decreto 2555 de 2010)","MAGDALENA","FUNDACIÓN","2"
"2026","3","1","39","Entidad vigilada","Transacción no reconocida","Tarjetas de crédito","CUNDINAMARCA","CHÍA","3"
"2026","3","14","11","Entidad vigilada","Cobros a póliza terminada","Seguro de vida individual","RISARALDA","PEREIRA","1"
"2026","3","1","7","Entidad vigilada","Transacción mal aplicada","Depósitos de bajo monto (Capítulo I del Título 15 del Decreto 2555 de 2010)","CALDAS","MANIZALES","1"
"2026","3","1","43","Entidad vigilada","Inconformidad con tasas de interés","Créditos comerciales","CÓRDOBA","CIÉNAGA DE ORO","1"
"2026","3","14","7","Entidad vigilada","Error en la modificación de la póliza","Seguro de salud","BOGOTÁ, D.C.","BOGOTÁ, D.C.","1"
"2026","3","1","43","Entidad vigilada","Inconformidad en procesos - Constitución, Modificación y Levantamiento - de garantía","Créditos comerciales","NORTE DE SANTANDER","SAN JOSÉ DE CÚCUTA","1"
"2026","3","1","39","Entidad vigilada","No disponibilidad o fallas de los canales de atención","Cuenta de ahorro","BOGOTÁ, D.C.","BOGOTÁ, D.C.","1"
"2026","3","14","7","Superintendencia Financiera de Colombia","Inconformidad con documentos exigidos para presentar reclamación","Seguro de responsabilidad civil","ATLÁNTICO","BARRANQUILLA","1"
"2026","3","1","39","Entidad vigilada","Inconsistencias en el movimiento y saldo total del producto","Depósitos de bajo monto (Capítulo I del Título 15 del Decreto 2555 de 2010)","BOGOTÁ, D.C.","BOGOTÁ, D.C.","4"
"2026","3","1","39","Entidad vigilada","Transacción mal aplicada","Tarjetas de crédito","ATLÁNTICO","BARRANQUILLA","1"
"2026","3","1","7","Entidad vigilada","Inconformidad por cobros de terceros","Depósitos de bajo monto (Capítulo I del Título 15 del Decreto 2555 de 2010)","ANTIOQUIA","MEDELLÍN","1"
"2026","3","1","7","Entidad vigilada","Demora o no devolución de saldos, aportes o primas","Depósitos de bajo monto (Capítulo I del Título 15 del Decreto 2555 de 2010)","CUNDINAMARCA","SOACHA","2"
"2026","3","1","39","Entidad vigilada","No disponibilidad o fallas de los canales de atención","Cuenta de ahorro","PUTUMAYO","MOCOA","1"
"2026","3","1","39","Entidad vigilada","Otros motivos","Cuenta de ahorro","META","GRANADA","1"
"2026","3","1","58","Entidad vigilada","No levantamiento de reporte negativo a centrales de riesgo","Tarjetas de crédito","SANTANDER","BUCARAMANGA","1"
"2026","3","1","7","Entidad vigilada","Transacción no reconocida","Cuenta de ahorro","ATLÁNTICO","BARRANQUILLA","1"
"2026","3","1","42","Entidad vigilada","Demora o no aplicación del pago","Creditos de consumo","BOGOTÁ, D.C.","BOGOTÁ, D.C.","1"
"2026","3","1","39","Entidad vigilada","Transacción no reconocida","Cuenta de ahorro","CALDAS","MANIZALES","1"
"2026","3","1","39","Entidad vigilada","Transacción no reconocida","Tarjetas de crédito","TOLIMA","IBAGUÉ","2"
"2026","3","1","39","Entidad vigilada","Transacción no reconocida","Tarjetas de crédito","BOYACÁ","TUNJA","2"
"2026","3","1","7","Entidad vigilada","Demora o no devolución de saldos, aportes o primas","Depósitos de bajo monto (Capítulo I del Título 15 del Decreto 2555 de 2010)","ANTIOQUIA","CAUCASIA","1"
"2026","3","1","39","Entidad vigilada","Transacción no reconocida","Tarjetas de crédito","ANTIOQUIA","ENVIGADO","1"
"2026","3","1","7","Entidad vigilada","Transacción mal aplicada","Cuenta de ahorro","NORTE DE SANTANDER","SAN JOSÉ DE CÚCUTA","1"
"2026","3","1","39","Entidad vigilada","Mal trato por parte del asesor comercial o proveedor","Otros productos de Establecimientos de Crédito y SEDPE","BOGOTÁ, D.C.","BOGOTÁ, D.C.","1"
"2026","3","1","7","Entidad vigilada","Demora en la respuesta a quejas, reclamos o peticiones","Depósitos de bajo monto (Capítulo I del Título 15 del Decreto 2555 de 2010)","ANTIOQUIA","MEDELLÍN","1"
"2026","3","1","39","Entidad vigilada","Transacción no reconocida","Tarjetas de crédito","HUILA","NEIVA","2"
"2026","3","1","39","Entidad vigilada","No disponibilidad o fallas de los canales de atención","Otros productos de Establecimientos de Crédito y SEDPE","BOGOTÁ, D.C.","BOGOTÁ, D.C.","3"
"2026","3","1","43","Entidad vigilada","Transferencias no ejecutadas","Otros productos de Establecimientos de Crédito y SEDPE","CASANARE","VILLANUEVA","1"
"2026","3","1","7","Entidad vigilada","Inconsistencias en el movimiento y saldo total del producto","Cuenta de ahorro","ANTIOQUIA","MEDELLÍN","190"
"2026","3","1","7","Entidad vigilada","Inconsistencia en el cobro de comisiones - Descuentos injustificados","Creditos de consumo","ANTIOQUIA","MEDELLÍN","2"
"2026","3","1","7","Entidad vigilada","Transacción mal aplicada","Depósitos de bajo monto (Capítulo I del Título 15 del Decreto 2555 de 2010)","CESAR","VALLEDUPAR","1"
"2026","3","1","7","Entidad vigilada","Transacción mal aplicada","Depósitos de bajo monto (Capítulo I del Título 15 del Decreto 2555 de 2010)","ANTIOQUIA","CAUCASIA","1"
"2026","3","1","43","Entidad vigilada","Retiro completo del depósito","Cuenta de ahorro","TOLIMA","ATACO","1"
"2026","3","1","43","Entidad vigilada","Error en la facturación o cobro no pactado","Cuenta de ahorro","CALDAS","MARQUETALIA","1"
"2026","3","1","43","Entidad vigilada","Información o asesoría incompleta y/o errada","Cuenta de ahorro","BOGOTÁ, D.C.","BOGOTÁ, D.C.","1"
"2026","3","14","11","Entidad vigilada","Inconformidad con la definición, autorización, dictamen o diagnóstico","Seguro de riesgos laborales","VALLE DEL CAUCA","CALI","1"
"2026","3","1","7","Entidad vigilada","Transacción mal aplicada","Depósitos de bajo monto (Capítulo I del Título 15 del Decreto 2555 de 2010)","BOYACÁ","TUNJA","1"
"2026","3","1","7","Entidad vigilada","Inconformidad por bloqueo de productos","Cuenta de ahorro","ANTIOQUIA","MEDELLÍN","10"
"2026","3","1","39","Entidad vigilada","Transacción no reconocida","Cuenta de ahorro","HUILA","NEIVA","3"
"2026","3","32","5","Entidad vigilada","Transacción mal aplicada","Cuenta de ahorro","ANTIOQUIA","ANDES","1"
"2026","3","1","7","Entidad vigilada","Demora o no devolución de saldos, aportes o primas","Depósitos de bajo monto (Capítulo I del Título 15 del Decreto 2555 de 2010)","ATLÁNTICO","PUERTO COLOMBIA","2"
"2026","3","1","43","Entidad vigilada","Transferencias no ejecutadas","Otros productos de Establecimientos de Crédito y SEDPE","HUILA","NEIVA","1"
"2026","3","1","7","Entidad vigilada","Transacción no reconocida","Depósitos de bajo monto (Capítulo I del Título 15 del Decreto 2555 de 2010)","CHOCÓ","QUIBDÓ","3"
"2026","3","14","23","Otra (remisión por competencia)","Otros motivos","Seguro de riesgos laborales","PUTUMAYO","PUERTO ASÍS","1"
"2026","3","1","7","Entidad vigilada","Demora o no devolución de saldos, aportes o primas","Depósitos de bajo monto (Capítulo I del Título 15 del Decreto 2555 de 2010)","LA GUAJIRA","RIOHACHA","1"
"2026","3","13","27","Entidad vigilada","No prestación del servicio","Seguro de automóviles","BOGOTÁ, D.C.","BOGOTÁ, D.C.","1"
"2026","3","13","33","Entidad vigilada","No prestación del servicio","Seguro de automóviles","ANTIOQUIA","ENVIGADO","1"
