tipo_entidad,codigo_entidad,instancia_recepcion,producto,departamento,cantidad_quejas_recibidas,es_fraude
1,7,Entidad vigilada,Depósitos de bajo monto (Capítulo I del Título 15 del Decreto 2555 de 2010),"ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",1,0
1,7,Entidad vigilada,Cuenta corriente,ANTIOQUIA,1,0
1,7,Entidad vigilada,Depósitos de bajo monto (Capítulo I del Título 15 del Decreto 2555 de 2010),META,5,0
1,7,Entidad vigilada,Depósitos de bajo monto (Capítulo I del Título 15 del Decreto 2555 de 2010),CAUCA,1,0
1,42,Entidad vigilada,Cuenta de ahorro,BOLÍVAR,1,0
128,6,Entidad vigilada,Otros productos de Fiduciarias,"BOGOTÁ, D.C.",3,0
4,128,Entidad vigilada,Tarjetas de crédito,"BOGOTÁ, D.C.",1,0
1,42,Entidad vigilada,Cuenta de ahorro,"BOGOTÁ, D.C.",1,0
5,12,Entidad vigilada,Pensiones obligatorias - Vejez,VALLE DEL CAUCA,1,0
1,39,Entidad vigilada,Tarjetas de crédito,VALLE DEL CAUCA,9,1
1,1,Superintendencia Financiera de Colombia,Cuenta de ahorro,"BOGOTÁ, D.C.",1,1
1,7,Entidad vigilada,Depósitos de bajo monto (Capítulo I del Título 15 del Decreto 2555 de 2010),TOLIMA,1,0
1,7,Entidad vigilada,Créditos de vivienda,ANTIOQUIA,1,0
1,7,Entidad vigilada,Depósitos de bajo monto (Capítulo I del Título 15 del Decreto 2555 de 2010),MAGDALENA,2,0
1,39,Entidad vigilada,Tarjetas de crédito,CUNDINAMARCA,3,1
14,11,Entidad vigilada,Seguro de vida individual,RISARALDA,1,0
1,7,Entidad vigilada,Depósitos de bajo monto (Capítulo I del Título 15 del Decreto 2555 de 2010),CALDAS,1,0
1,43,Entidad vigilada,Créditos comerciales,CÓRDOBA,1,0
14,7,Entidad vigilada,Seguro de salud,"BOGOTÁ, D.C.",1,0
1,43,Entidad vigilada,Créditos comerciales,NORTE DE SANTANDER,1,0
1,39,Entidad vigilada,Cuenta de ahorro,"BOGOTÁ, D.C.",1,0
14,7,Superintendencia Financiera de Colombia,Seguro de responsabilidad civil,ATLÁNTICO,1,0
1,39,Entidad vigilada,Depósitos de bajo monto (Capítulo I del Título 15 del Decreto 2555 de 2010),"BOGOTÁ, D.C.",4,0
1,39,Entidad vigilada,Tarjetas de crédito,ATLÁNTICO,1,0
1,7,Entidad vigilada,Depósitos de bajo monto (Capítulo I del Título 15 del Decreto 2555 de 2010),ANTIOQUIA,1,0
1,7,Entidad vigilada,Depósitos de bajo monto (Capítulo I del Título 15 del Decreto 2555 de 2010),CUNDINAMARCA,2,0
1,39,Entidad vigilada,Cuenta de ahorro,PUTUMAYO,1,0
1,39,Entidad vigilada,Cuenta de ahorro,META,1,0
1,58,Entidad vigilada,Tarjetas de crédito,SANTANDER,1,0
1,7,Entidad vigilada,Cuenta de ahorro,ATLÁNTICO,1,1
1,42,Entidad vigilada,Creditos de consumo,"BOGOTÁ, D.C.",1,0
1,39,Entidad vigilada,Cuenta de ahorro,CALDAS,1,1
1,39,Entidad vigilada,Tarjetas de crédito,TOLIMA,2,1
1,39,Entidad vigilada,Tarjetas de crédito,BOYACÁ,2,1
1,7,Entidad vigilada,Depósitos de bajo monto (Capítulo I del Título 15 del Decreto 2555 de 2010),ANTIOQUIA,1,0
